,name,parents
379,betweenness-1diversity0pagerank0peel0degree0,diversity0pagerank0peel0degree0
380,betweenness0diversity0pagerank0peel0degree0,diversity0pagerank0peel0degree0
381,betweenness0diversity-2pagerank0peel0degree0,diversity-2pagerank0peel0degree0
382,betweenness-1diversity-1pagerank0peel0degree0,diversity-1pagerank0peel0degree0
383,betweenness1diversity-1pagerank0peel0degree0,diversity-1pagerank0peel0degree0
384,betweenness-1diversity1pagerank0peel0degree0,diversity1pagerank0peel0degree0
385,betweenness0diversity1pagerank0peel0degree0,diversity1pagerank0peel0degree0
386,betweenness0diversity1pagerank-2peel0degree0,diversity1pagerank-2peel0degree0
387,betweenness-2diversity1pagerank-2peel0degree0,diversity1pagerank-2peel0degree0
388,betweenness-2diversity-2pagerank-2peel0degree0,diversity-2pagerank-2peel0degree0
389,betweenness0diversity-2pagerank-2peel0degree0,diversity-2pagerank-2peel0degree0
390,betweenness-1diversity-1pagerank-2peel0degree0,diversity-1pagerank-2peel0degree0
391,betweenness0diversity-1pagerank-2peel0degree0,diversity-1pagerank-2peel0degree0
392,betweenness-1diversity0pagerank-2peel0degree0,diversity0pagerank-2peel0degree0
393,betweenness1diversity0pagerank-2peel0degree0,diversity0pagerank-2peel0degree0
394,betweenness0diversity0pagerank1peel0degree0,diversity0pagerank1peel0degree0
395,betweenness-2diversity0pagerank1peel0degree0,diversity0pagerank1peel0degree0
396,betweenness1diversity-1pagerank1peel0degree0,diversity-1pagerank1peel0degree0
397,betweenness-1diversity-1pagerank1peel0degree0,diversity-1pagerank1peel0degree0
398,betweenness0diversity-2pagerank1peel0degree0,diversity-2pagerank1peel0degree0
399,betweenness0diversity1pagerank1peel0degree0,diversity1pagerank1peel0degree0
400,betweenness0diversity0pagerank2peel0degree0,diversity0pagerank2peel0degree0
401,betweenness0diversity0pagerank-2peel2degree0,diversity0pagerank-2peel2degree0
402,betweenness-1diversity0pagerank-1peel2degree0,diversity0pagerank-1peel2degree0
403,betweenness0diversity0pagerank-1peel2degree0,diversity0pagerank-1peel2degree0
404,betweenness0diversity-2pagerank-1peel2degree0,diversity-2pagerank-1peel2degree0
405,betweenness0diversity0pagerank1peel2degree0,diversity0pagerank1peel2degree0
406,betweenness0diversity0pagerank0peel2degree0,diversity0pagerank0peel2degree0
407,betweenness0diversity0pagerank0peel-3degree0,diversity0pagerank0peel-3degree0
408,betweenness-1diversity0pagerank-2peel1degree-1,diversity0pagerank-2peel1degree-1
409,betweenness0diversity0pagerank-2peel1degree-1,diversity0pagerank-2peel1degree-1
410,betweenness1diversity0pagerank-2peel1degree-1,diversity0pagerank-2peel1degree-1
411,betweenness-1diversity-1pagerank-2peel1degree-1,diversity-1pagerank-2peel1degree-1
412,betweenness1diversity-1pagerank-2peel1degree-1,diversity-1pagerank-2peel1degree-1
413,betweenness1diversity1pagerank-2peel1degree-1,diversity1pagerank-2peel1degree-1
414,betweenness-1diversity1pagerank-2peel1degree-1,diversity1pagerank-2peel1degree-1
415,betweenness0diversity-2pagerank-2peel1degree-1,diversity-2pagerank-2peel1degree-1
416,betweenness-1diversity0pagerank0peel1degree-1,diversity0pagerank0peel1degree-1
417,betweenness1diversity0pagerank0peel1degree-1,diversity0pagerank0peel1degree-1
418,betweenness0diversity0pagerank0peel1degree-1,diversity0pagerank0peel1degree-1
419,betweenness-1diversity-1pagerank0peel1degree-1,diversity-1pagerank0peel1degree-1
420,betweenness1diversity-1pagerank0peel1degree-1,diversity-1pagerank0peel1degree-1
421,betweenness-1diversity-2pagerank0peel1degree-1,diversity-2pagerank0peel1degree-1
422,betweenness1diversity-2pagerank0peel1degree-1,diversity-2pagerank0peel1degree-1
423,betweenness0diversity1pagerank0peel1degree-1,diversity1pagerank0peel1degree-1
424,betweenness-1diversity1pagerank0peel1degree-1,diversity1pagerank0peel1degree-1
425,betweenness-2diversity1pagerank0peel1degree-1,diversity1pagerank0peel1degree-1
426,betweenness1diversity-3pagerank0peel1degree-1,diversity-3pagerank0peel1degree-1
427,betweenness-1diversity-3pagerank0peel1degree-1,diversity-3pagerank0peel1degree-1
428,betweenness-1diversity0pagerank-1peel1degree-1,diversity0pagerank-1peel1degree-1
